,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
29,kuvvetli al,"[0, 0, 0.9726651480637798]","[0, 0, 0]","[0, 0, 1]","[0, 0.8210104939181786, 0.08949475304091072]","[0, 0.8210104939181786, 0.08949475304091072]",138.45651515969334,0.4591741461240311,0.4591741461240311,98.63325740318899,21.79675507244414,25.829244927555862,0.9601166321694572,23.813000000000002,69.02173913043485,25.75527415634511,26.21444830246914,23.830476190476194,24.92,2005-05-02,27.38
30,kuvvetli sat,"[0, 0, 0.9817767653758529]","[0, 0, 0.5543528947746089]","[0, 0, 1]","[0, 0.784948787015908, 0.10752560649204601]","[0, 0.784948787015908, 0.10752560649204601]",117.1380346579737,0.5516857343009143,0.5516857343009143,99.08883826879264,21.404220437002056,26.52277956299795,1.2187045538085446,23.9635,79.85074626865674,26.63135181713941,27.183037551440325,23.940952380952385,25.372,2005-05-03,27.4
31,kuvvetli sat,"[0, 0, 0.7266514806378123]","[0, 0.08927846790053678, 0.9107215320994633]","[0, 0, 1]","[0, 0.877094267657981, 0.06145286617100946]","[0, 0.877094267657981, 0.06145286617100946]",95.53607660497316,0.3152985665880159,0.3152985665880159,86.33257403189062,21.212033240455945,27.102966759544053,1.4026032188305009,24.1575,85.8569051580699,27.045818974564238,27.361117541152247,24.12619047619048,25.802,2005-05-04,26.84
32,kuvvetli sat,"[0, 0, 0.7448747152619584]","[0, 0.1916169518592591, 0.8083830481407409]","[0, 0, 1]","[0.029494939234281148, 0.9410101215314377, 0]","[0.029494939234281148, 0.9410101215314377, 0]",90.41915240703705,-0.010661200213760935,-0.010661200213760935,87.24373576309792,21.235954839784394,27.47804516021561,1.4862119810550505,24.357,86.18968386023295,26.93483815494627,26.924176954732506,24.31190476190476,26.202,2005-05-05,26.88
33,kuvvetli sat,"[0, 0, 0.7312072892938497]","[0, 0.2870665210154428, 0.7129334789845572]","[0, 0, 1]","[0.05687843079695402, 0.8862431384060919, 0]","[0.05687843079695402, 0.8862431384060919, 0]",85.64667394922786,-0.02055919945297191,-0.02055919945297191,86.56036446469248,21.27704078062975,27.783959219370235,1.5492662949382128,24.5305,78.84322678843229,26.905268561592887,26.884709362139915,24.47523809523809,26.576,2005-05-06,26.85
34,kuvvetli sat,"[0, 0, 0.9126436781609212]","[0, 0.2508848545727366, 0.7491151454272633]","[0, 0, 1]","[0.06230845177726915, 0.8753830964454616, 0]","[0.06230845177726915, 0.8753830964454616, 0]",87.45575727136317,-0.0225219273764381,-0.0225219273764381,95.63218390804606,21.359887338923745,28.04911266107625,1.5926726957505968,24.7045,78.64823348694318,26.87546688622417,26.852944958847733,24.642380952380954,27.0,2005-05-09,27.21
35,kuvvetli al,"[0, 0, 0]","[0, 0.11673680284452245, 0.8832631971554775]","[0, 0, 1]","[0, 0.9642530207400876, 0.01787348962995621]","[0, 0.9642530207400876, 0.01787348962995621]",94.16315985777388,0.09170419561178278,0.09170419561178278,100.0,21.443803274775192,28.300196725224804,1.6324746310594327,24.872,76.68308702791467,27.055852388750356,27.14755658436214,24.806666666666665,27.07,2005-05-10,27.9
36,kuvvetli sat,"[0, 0, 0.9257731958762886]","[0, 0.2533909857121898, 0.7466090142878101]","[0, 0, 1]","[0, 0.7901435116897877, 0.10492824415510617]","[0, 0.7901435116897877, 0.10492824415510617]",87.33045071439051,0.2606263563334963,0.2606263563334963,96.28865979381443,21.50775215851689,28.62124784148311,1.6936894483252884,25.0645,76.6062602965404,27.511030022267324,27.77165637860082,24.98333333333333,27.035999999999998,2005-05-11,27.72
37,kuvvetli sat,"[0, 0, 0.8845360824742272]","[0, 0.3452920300054922, 0.6547079699945079]","[0, 0, 1]","[0, 0.8216193006330781, 0.08919034968346097]","[0, 0.8216193006330781, 0.08919034968346097]",82.73539849972539,0.10202311247014252,0.10202311247014252,94.22680412371136,21.742534686335787,28.84646531366421,1.6914120541258133,25.2945,77.49603803486534,27.623709912221216,27.72573302469136,25.199523809523807,27.13600000000001,2005-05-12,27.62
38,sat,"[0, 0, 0.5422680412371134]","[0, 0.6348973777751078, 0.36510262222489215]","[0, 0, 1]","[0, 0.9527555556412786, 0.023622222179360743]","[0, 0.9527555556412786, 0.023622222179360743]",68.25513111124461,0.013032042988839976,0.013032042988839976,77.11340206185567,22.067698633432347,28.98630136656765,1.6472863650322165,25.527,77.61904761904769,27.62170946935684,27.63474151234568,25.41,27.311999999999998,2005-05-13,26.79
39,kuvvetli sat,"[0, 0, 0.8927835051546399]","[0, 0.41434147083267986, 0.5856585291673201]","[0, 0, 1]","[0.678710786440968, 0, 0]","[0.678710786440968, 0, 0]",79.282926458366,-0.24532586841461426,-0.24532586841461426,94.63917525773199,22.53775466522384,28.973245334776145,1.5322596832267386,25.755499999999994,72.08872458410359,27.17323867705658,26.927912808641967,25.626666666666665,27.46,2005-05-16,27.64
